<b>mettre</b>	to put
vous&nbsp;<b>commencer&nbsp;</b>(imparfait)	vous commenciez<br>
ils&nbsp;<b>commencer&nbsp;</b>(imparfait)	ils commençaient
vous <b>remplacer </b>(imparfait)	vous rempla<b>ciez</b><br>
<b>remplacer </b>(passé composé)	(avoir) + remplacé
ils <b>envoyer </b>(imparfait)	ils envoyaient
je<b> remplacer </b>(futur simple)	je remplacerai
tu&nbsp;<b>remplacer&nbsp;</b>(futur simple)	tu remplaceras
il <b>remplacer </b>(futur simple)	il rempla<b>cera</b>
nous&nbsp;<b>remplacer&nbsp;</b>(futur simple)	nous remplacerons
vous&nbsp;<b>remplacer&nbsp;</b>(futur simple)	vous rempla<b>cerez</b>
ils&nbsp;<b>remplacer&nbsp;</b>(futur simple)	ils remplaceront<br>
<b>rater</b>	to fail, to miss
<b>tueur / tueuse</b>	killer
killer	<b>tueur / tueuse</b>
<div style='font-weight: bold;'>presque</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>adverbe</div>	<div class=centered-block> À peu près&nbsp;; pas exactement ou pas tout à fait.&nbsp; </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>C'est presque sûr.&nbsp;</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>à peu (de chose) près,&nbsp;approximativement,&nbsp;environ,&nbsp;pas loin de</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>almost</div>
<div class=centered-block> À peu près&nbsp;; pas exactement ou pas tout à fait.&nbsp; </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>adverbe</div> 	<div style='font-weight: bold;'>presque</div> <br/> <div style='font-family: Arial; font-size: 16px;'>C'est presque sûr.&nbsp;</div>
<b>saignement</b>	bleeding
bleeding	<b>saignement</b>
<b>saigner</b>	to bleed
to bleed	<b>saigner</b>
<b>bijoux</b>	jewelry
jewelry	<b>bijoux</b>
<div style='font-weight: bold;'>affranchir</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>vtr</div>	<div class=centered-block> libérer d'une contrainte </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Les robots sont censés affranchir les hommes des tâches les moins intéressantes.</div> <br/> <div style='font-family: Arial; font-size: 16px;'>free, liberate</div>
<div class=centered-block> <span style='color: MediumSeaGreen;'>libérer d'une contrainte</span> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>vtr</div> 	<div style='font-weight: bold;'>affranchir</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>Les robots sont censés affranchir les hommes des tâches les moins intéressantes.</div>
<b>bijoutier</b>	jeweler
jeweler	<b>bijoutier</b>
<div style='font-weight: bold;'>grotte</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom féminin</div>	<div class=centered-block> Cavité de grande taille dans le rocher, le flanc d'une montagne. </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Grottes préhistoriques.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>caverne</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>cave</div>
<div class=centered-block> Cavité de grande taille dans le rocher, le flanc d'une montagne. </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom féminin</div> 	<div style='font-weight: bold;'>grotte</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Grottes préhistoriques.</div>
<div style='font-weight: bold;'>escapade</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom féminin</div>	<div class=centered-block> Le fait d'échapper aux obligations, aux habitudes de la vie quotidienne (fuite, absence physique ou écart de conduite). </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Faire une escapade.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>sortie,&nbsp;bordée,&nbsp;équipée,&nbsp;fugue,&nbsp;virée</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>getaway</div>
<div class=centered-block> Le fait d'échapper aux obligations, aux habitudes de la vie quotidienne (fuite, absence physique ou écart de conduite). </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom féminin</div> 	<div style='font-weight: bold;'>escapade</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Faire une escapade.</div>
<b>convenir</b>	to suit
to suit	<b>convenir</b>
<b>le récit</b>	recital
recital	<b>le récit</b>
je <b>choisir&nbsp;</b>(présent)	je choisis
tu&nbsp;<b>choisir&nbsp;</b>(présent)	tu choisis
il&nbsp;<b>choisir&nbsp;</b>(présent)	il choisit
nous&nbsp;<b>choisir&nbsp;</b>(présent)	nous choisissons
vous&nbsp;<b>choisir&nbsp;</b>(présent)	vous choisissez
ils&nbsp;<b>choisir&nbsp;</b>(présent)	ils choisissent
nous&nbsp;<b>agir&nbsp;</b>(présent)	nous agissons
<b>réfléchir </b>(passé composé)&nbsp;	(avoir) + réfléchi
<div style='font-weight: bold;'>garantir</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe</div>	<div class=centered-block> Assurer sous sa responsabilité (qqch.) à qqn. </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Lois garantissant les libertés du citoyen.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'></div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>guarantee</div>
<div class=centered-block> Assurer sous sa responsabilité (qqch.) à qqn. </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe</div> 	<div style='font-weight: bold;'>garantir</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Lois garantissant les libertés du citoyen.</div>
<div style='font-weight: bold;'>arrondir</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe</div>	<div class=centered-block> Rendre rond. </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Le frottement arrondit les galets.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'></div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>round</div>
<div class=centered-block> Rendre rond. </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe</div> 	<div style='font-weight: bold;'>arrondir</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Le frottement arrondit les galets.</div>
<div style='font-weight: bold;'>établir</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe</div>	"<div class=centered-block> Mettre, faire tenir (une chose) dans un lieu et d'une manière stable. </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'><b>Établir </b>une usine dans une ville.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>construire,&nbsp;installer<br><span style=""color: rgb(55, 126, 159);""></span></div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>establish</div>"
<div class=centered-block> Mettre, faire tenir (une chose) dans un lieu et d'une manière stable. </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe</div> 	<div style='font-weight: bold;'>établir</div> <br/> <div style='font-family: Arial; font-size: 16px;'><b>Établir </b>une usine dans une ville.</div>
je <b>établir </b>(imparfait)	j'établissais
tu&nbsp;<b>établir&nbsp;</b>(imparfait)	tu établissais<br>
il&nbsp;<b>établir&nbsp;</b>(imparfait)	il établissait
nous&nbsp;<b>établir&nbsp;</b>(imparfait)	nous établissions
vous&nbsp;<b>établir&nbsp;</b>(imparfait)	vous établ<b>issiez</b>
ils&nbsp;<b>établir&nbsp;</b>(imparfait)	ils établissaient
<div style='font-weight: bold;'>faiblir</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe</div>	<div class=centered-block> Devenir faible. </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Ses forces faiblissent.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'></div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>weaken</div>
<div class=centered-block> Devenir faible. </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe</div> 	<div style='font-weight: bold;'>faiblir</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Ses forces faiblissent.</div>
<div style='font-weight: bold;'>bâtir</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe</div>	<div class=centered-block>   Établir, édifier, construire.&nbsp;Élever sur le sol, à l'aide de matériaux assemblés.&nbsp;&nbsp;<br> </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Bâtir une maison, un pont, une ville.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'></div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>build</div>
<div class=centered-block>   Établir, édifier, construire.&nbsp;Élever sur le sol, à l'aide de matériaux assemblés.&nbsp;&nbsp;<br> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe</div> 	<div style='font-weight: bold;'>bâtir</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Bâtir une maison, un pont, une ville.</div>
<div style='font-weight: bold;'>réussir</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe</div>	<div class=centered-block> Avoir une heureuse issue, un bon résultat, du succès. </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>La tentative a réussi.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'></div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>suceed</div>
<div class=centered-block> Avoir une heureuse issue, un bon résultat, du succès. </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe</div> 	<div style='font-weight: bold;'>réussir</div> <br/> <div style='font-family: Arial; font-size: 16px;'>La tentative a réussi.</div>
<div style='font-weight: bold;'>tentative</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom, féminin</div>	<div class=centered-block> Action par laquelle on s'efforce d'obtenir un résultat. </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>La dernière tentative de réconciliation a été un grand succès.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'></div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>attempt</div>
<div class=centered-block> Action par laquelle on s'efforce d'obtenir un résultat. </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom, féminin</div> 	<div style='font-weight: bold;'>tentative</div> <br/> <div style='font-family: Arial; font-size: 16px;'>La dernière tentative de réconciliation a été un grand succès.</div>
<div style='font-weight: bold;'>pourrir</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe</div>	<div class=centered-block> 1. Se décomposer.<div><div>2. Rester dans une situation où l'on se dégrade.</div></div> </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Ce bois pourrit à l'humidité.<div>Les parents pourrissent leur enfant en le laissant faire ce qu'il veut.<br></div></div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'>s'altérer</div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>rot, spoil</div>
<div class=centered-block> 1. Se décomposer.<div><div>2. Rester dans une situation où l'on se dégrade.</div></div> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>verbe</div> 	<div style='font-weight: bold;'>pourrir</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Ce bois pourrit à l'humidité.<div>Les parents pourrissent leur enfant en le laissant faire ce qu'il veut.<br></div></div>
je <b>remplir </b>(futur simple)	je remplirai
tu&nbsp;<b>remplir&nbsp;</b>(futur simple)	tu rempliras
il&nbsp;<b>remplir&nbsp;</b>(futur simple)	il rempl<b>ira</b>
nous&nbsp;<b>remplir&nbsp;</b>(futur simple)	nous remplirons
vous&nbsp;<b>remplir&nbsp;</b>(futur simple)	vous rempl<b>irez</b>
ils&nbsp;<b>remplir&nbsp;</b>(futur simple)	ils rempliront
<div style='font-weight: bold;'>vieillerie</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom féminin</div>	<div class=centered-block> <div>1. Objet vieux, démodé, usé.</div><div>2. Idée, conception rebattue, usée&nbsp;; œuvre démodée.</div> </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>La&nbsp;<b>vieillerie</b>&nbsp;poétique avait une bonne part dans mon alchimie du verbe.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'></div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>old thing, idea</div>
<div class=centered-block> <div>1. Objet vieux, démodé, usé.</div><div>2. Idée, conception rebattue, usée&nbsp;; œuvre démodée.</div> </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>nom féminin</div> 	<div style='font-weight: bold;'>vieillerie</div> <br/> <div style='font-family: Arial; font-size: 16px;'>La&nbsp;<b>vieillerie</b>&nbsp;poétique avait une bonne part dans mon alchimie du verbe.</div>
<div style='font-weight: bold;'>ne... pas</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>phrase</div>	<div class=centered-block> Exprimer le contraire d'une phrase affirmative. </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Je ne suis pas marié.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'></div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>negation (e.g. don't)</div>
<div class=centered-block> Exprimer le contraire d'une phrase affirmative. </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>phrase</div> 	<div style='font-weight: bold;'>ne... pas</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Je ne suis pas marié.</div>
<div style='font-weight: bold;'>ne... pas de</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>phrase</div>	<div class=centered-block> L'article indéfini <b>un</b>, <b>une</b>, <b>des </b>est remplacé par <b>de</b>. </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Non, il n'a pas de frère.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'></div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>non of&nbsp;</div>
<div class=centered-block> L'article indéfini <b>un</b>, <b>une</b>, <b>des </b>est remplacé par <b>de</b>. </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>phrase</div> 	<div style='font-weight: bold;'>ne... pas de</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Non, il n'a pas de frère.</div>
<div style='font-weight: bold;'>ne... jamais</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>phrase</div>	<div class=centered-block> Pas une seule fois. Negation de <i>toujours</i>, <i>souvent</i>, <i>quelquefois</i>, <i>déjà</i>. </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Tu prend souvent le métro? - Non, je <b>ne </b>le prends <b>jamais</b>!</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'></div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>never</div>
<div class=centered-block> Pas une seule fois. Negation de <i>toujours</i>, <i>souvent</i>, <i>quelquefois</i>, <i>déjà</i>. </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>phrase</div> 	<div style='font-weight: bold;'>ne... jamais</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Tu prend souvent le métro? - Non, je <b>ne </b>le prends <b>jamais</b>!</div>
<div style='font-weight: bold;'>ne... plus</div> <br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>phrase</div>	<div class=centered-block> Avant, oui, maintenant c'est fini. </div> <br/> <br/> <div style='font-family: Arial; font-size: 16px;'>Tu habites <b>encore </b>/ <b>toujours </b>à Paris? - Non, je <b>n</b>'habite <b>plus </b>en France.</div> <br/> <div style='font-family: Arial; font-size: 20px; color: mediumaquamarine;'></div> <br/> <div style='font-family: Arial; font-size: 20px; color: lightcoral;'></div> <br/> <div style='font-family: Arial; font-size: 16px;'>no longer</div>
<div class=centered-block> Avant, oui, maintenant c'est fini. </div> <br/><br/> <div style='font-family: Arial; font-size: 16px; font-style: italic;'>phrase</div> 	<div style='font-weight: bold;'>ne... plus</div> <br/> <div style='font-family: Arial; font-size: 16px;'>Tu habites <b>encore </b>/ <b>toujours </b>à Paris? - Non, je <b>n</b>'habite <b>plus </b>en France.</div>
